question,option_a,option_b,option_c,option_d,correct_option,topic,difficulty,explanation
"What does the 'final' keyword signify when applied to a class in Java?","The class cannot be instantiated","The class cannot be subclassed (inherited from)","All methods in the class are private","The class will be destroyed at the end of the main method","B","Java","Easy","A final class (e.g. java.lang.String) cannot be extended by any other class."
"In Java memory architecture, where are object instances allocated?","Thread Stack","Heap Memory","Metaspace","Program Counter register","B","Java","Easy","In standard JVM execution, all Java objects are allocated in the shared Heap memory, while primitive local variables and references live on thread stacks."
"What is the purpose of the 'transient' keyword in Java?","Marks a variable as thread-safe","Prevents a field from being serialized when using Java Object Serialization","Forces the variable to be stored in CPU cache","Allows multiple threads to read the variable without locks","B","Java","Medium","Fields marked transient are skipped by default serialization mechanisms and initialized to default values upon deserialization."
"What will happen if a thread calls wait() on an object without holding that object's monitor lock?","The thread will sleep for 1000 milliseconds","An IllegalMonitorStateException is thrown at runtime","The lock is automatically acquired","A NullPointerException is thrown","B","Java","Medium","wait(), notify(), and notifyAll() must be invoked inside a synchronized block or method synchronized on the target object; otherwise IllegalMonitorStateException occurs."
"What is type erasure in Java Generics?","The JVM deletes class files after compilation","Generic type parameters are checked at compile time and stripped (replaced with Object or bounds) in the compiled bytecode","Primitive types are automatically converted to wrapper objects","Dynamic cast operations are optimized away","B","Java","Medium","To maintain backwards compatibility with pre-generic Java code, the compiler erases generic type parameters from class files and inserts appropriate casts."
"In Java 8+, what is a Functional Interface?","An interface containing zero methods","An interface with exactly one abstract method","An interface that can only be implemented by static classes","An interface that does not allow default methods","B","Java","Easy","A functional interface has exactly one abstract method (Single Abstract Method / SAM) and can be targeted by lambda expressions and method references."
"What is the difference between throw and throws in Java?","throw is used in method signatures; throws is used inside method bodies","throw is used to explicitly instantiate and raise an exception; throws is used in method headers to declare exceptions that may be propagated","throw is for checked exceptions; throws is for unchecked exceptions","Both can be used interchangeably","B","Java","Easy","throw triggers an exception instance immediately; throws declares potential checked exceptions in the method signature."
"Which collection class in java.util provides a thread-safe implementation of a hash map without locking the entire map on every operation?","Hashtable","Collections.synchronizedMap(new HashMap<>())","ConcurrentHashMap","TreeMap","C","Java","Medium","ConcurrentHashMap uses segmented locking and CAS (compare-and-swap) operations on individual buckets, permitting high concurrent throughput."
"What is the Java Memory Model's 'happens-before' guarantee regarding volatile variables?","A write to a volatile variable happens-before every subsequent read of that same volatile variable","Volatile variables are read before any arithmetic operations","Volatile variables can only be modified by the main thread","Volatile writes bypass memory barriers","A","Java","Hard","A volatile write creates a release barrier, guaranteeing that all memory writes made prior to that volatile write are visible to any thread that subsequent reads the volatile variable."
"What is the result of System.out.println(1.0 / 0.0); in Java?","ArithmeticException: / by zero","Infinity","NaN","0.0","B","Java","Medium","Floating-point arithmetic in Java complies with IEEE 754: dividing non-zero floating-point numbers by 0.0 yields Infinity rather than throwing an exception."
"What was Metaspace introduced to replace in Java 8?","Young Generation","Permanent Generation (PermGen)","Survivor Spaces","Thread Stack","B","Java","Medium","Metaspace stores class metadata in native memory off-heap, replacing the fixed-size PermGen to avoid java.lang.OutOfMemoryError: PermGen space."
"Which Java keyword is used inside a method to prevent multiple threads from concurrently executing that block on the same monitor object?","atomic","synchronized","locked","threadsafe","B","Java","Easy","The synchronized keyword establishes mutual exclusion on an object's intrinsic monitor lock."
"What does try-with-resources require from any object declared inside the try parentheses?","The class must extend Thread","The class must implement java.lang.AutoCloseable or java.io.Closeable","The object must be marked final","The class must be serializable","B","Java","Easy","try-with-resources automatically invokes close() on any object implementing AutoCloseable upon completing or failing the block."
"In Java, what is the default capacity of an ArrayList when elements are first added to an empty ArrayList()?","1","10","16","32","B","Java","Easy","An ArrayList initialized with the default constructor starts with empty storage and allocates an initial capacity of 10 upon first element addition."
"What is the difference between Checked and Unchecked exceptions in Java?","Checked exceptions inherit directly from Error; unchecked inherit from Exception","Checked exceptions extend Exception (excluding RuntimeException) and must be caught or declared; unchecked extend RuntimeException or Error","Unchecked exceptions are verified by the compiler before compilation","Checked exceptions crash the JVM immediately","B","Java","Easy","Checked exceptions are enforced at compile time via try-catch or throws clauses; unchecked exceptions (RuntimeException) do not mandate compile-time handling."
"What feature introduced in Java 14+ / 16 provides immutable data-carrier classes with automatic constructor, getters, equals(), and hashCode()?","Sealed Classes","Records","Enums","Modules","B","Java","Easy","Java Records (e.g. record Person(String name, int age) {}) serve as concise, transparent data holders with compiler-generated boilerplate."
"What is the effect of calling Thread.yield() in Java?","Terminates the current thread","Hints to the thread scheduler that the current thread is willing to surrender its current use of a processor","Causes the thread to sleep for exactly 100 milliseconds","Releases all acquired synchronized locks","B","Java","Medium","Thread.yield() provides a heuristic hint to the OS scheduler that the thread is willing to yield; the scheduler may freely ignore it."
"What is the Global Interpreter Lock (GIL) in standard CPython?","A security sandbox preventing Python scripts from accessing local file storage","A mutex that protects access to Python objects, preventing multiple native threads from executing Python bytecodes simultaneously","A garbage collection algorithm based on generational sweeping","A compiler tool that converts Python code into WebAssembly","B","Python","Medium","CPython's GIL restricts bytecode execution to one native thread at a time to simplify memory management and reference counting."
"What is the output of the Python expression: [x for x in [1, 2, 3] if x % 2 != 0]?","[1, 3]","[2]","[1, 2, 3]","[]","A","Python","Easy","List comprehension filters elements where x % 2 != 0 (odd numbers), yielding [1, 3]."
"Which of the following built-in Python data types is mutable?","tuple","frozenset","str","bytearray","D","Python","Medium","tuple, frozenset, and str are immutable in Python; bytearray is a mutable sequence of integers in the range 0 <= x < 256."
"What does the 'yield' keyword do inside a Python function?","Aborts function execution and raises an exception","Turns the function into a generator that produces values lazily across iterations","Spawns a new background operating system process","Returns an immutable tuple of arguments","B","Python","Easy","Functions containing yield return a generator object, freezing their execution state between successive next() calls."
"In Python, how is method resolution order (MRO) determined for classes with multiple inheritance?","Depth-First Search left-to-right","C3 Linearization Algorithm","Breadth-First Search bottom-up","Randomized order","B","Python","Medium","Python utilizes the C3 Linearization algorithm to compute a deterministic, monotonic Method Resolution Order."
"What is the danger of using a mutable default argument in a Python function, such as def append_to(val, target=[]):?","It triggers a TypeError on invocation","The default list is created once at function definition time and shared across all subsequent invocations","It causes memory allocation failure on the stack","Python automatically clears the list after each call","B","Python","Medium","Default parameter values evaluate once when the def statement executes; modifying target in-place affects subsequent calls that omit the parameter."
"What is the primary difference between 'is' and '==' operators in Python?","'is' checks equality of values; '==' checks identity (memory address)","'is' checks identity (memory address via id()); '==' checks equality of values","'is' only works with strings; '==' works with numbers","They are completely interchangeable aliases","B","Python","Easy","'is' checks if two variables point to the exact same object in memory, while '==' invokes the __eq__ method to compare values."
"Which dunder (magic) method is called in Python when an object is used inside a 'with' statement?","__init__","__enter__","__call__","__iter__","B","Python","Easy","Context managers invoke __enter__ upon entering the with block and __exit__ when exiting."
"What does the @staticmethod decorator do in a Python class?","Passes the instance (self) as the first argument automatically","Defines a method that does not receive an implicit first argument (neither self nor cls)","Makes the method private and inaccessible from outside","Caches the return value across all calls","B","Python","Easy","@staticmethod methods behave like regular plain functions bound to the class namespace, receiving neither self nor cls."
"In Python, what is the output of bool('False')?","False","True","None","TypeError","B","Python","Medium","Any non-empty string in Python evaluates to True when cast to bool, regardless of its textual contents."
"How does Python handle reference counting cycles in garbage collection?","Circular references cannot be collected in Python and always leak memory","A cyclic garbage collector uses generational tracking to detect unreachable reference cycles","The GIL automatically deletes cycles every 10 seconds","Circular references raise a RecursionError","B","Python","Medium","While reference counting handles straightforward deallocation, Python's gc module periodically scans young/old generations to identify isolated circular reference clusters."
"What does the functools.lru_cache decorator do in Python?","Compiles functions to Cython code","Wraps a function with a memoizing callable that saves the up to maxsize most recent calls","Forces the function to run asynchronously","Converts function parameters into JSON","B","Python","Easy","functools.lru_cache caches function results based on argument tuples using a Least Recently Used eviction strategy."
"What is the output of the slice expression: 'Python'[::-1]?","'Python'","'nohtyP'","'P'","IndexError","B","Python","Easy","A slice with step -1 and omitted start/stop traverses the sequence in reverse order."
"What is the purpose of __slots__ in a Python class definition?","Enables multi-core parallelism","Prevents creation of the default __dict__ instance dictionary, reducing memory usage and restricting attributes","Defines database table columns automatically","Allows classes to be indexed with brackets like dictionaries","B","Python","Medium","__slots__ tells Python not to create a per-instance __dict__, allocating a fixed array of attribute references and saving considerable memory."
"Which Python standard library module is used for cooperative multitasking with async/await syntax?","multiprocessing","threading","asyncio","socket","C","Python","Easy","asyncio provides the foundation for writing concurrent single-threaded applications with coroutines and event loops."
"What happens when you execute: a, b = b, a in Python?","SyntaxError","Values of a and b are swapped cleanly using tuple packing and unpacking without a temporary variable","Both a and b are assigned the value of b","b is deleted","B","Python","Easy","The right-hand side creates a 2-tuple (b, a) which is unpacked into identifiers a and b in one atomic operation."
"In Python, which function converts a code object or string into executable bytecode and runs it in the current scope?","eval()","exec()","compile()","run()","B","Python","Medium","exec() dynamically executes arbitrary Python code statements, whereas eval() evaluates a single expression and returns its value."
"What is a closure in Python?","A function that has been deleted from memory","A nested function that retains access to variables in its enclosing scope even after the outer function has finished executing","A class with no methods","A file that has been closed by a context manager","B","Python","Medium","A closure captures non-local variables from the outer lexical scope into its __closure__ attribute."
"What is the time complexity of checking membership (x in collection) for a Python set vs a Python list of size n on average?","Set: O(n), List: O(1)","Set: O(1), List: O(n)","Set: O(log n), List: O(log n)","Both are O(n)","B","Python","Easy","Sets are implemented as hash tables offering O(1) average lookup, whereas list containment requires linear O(n) search."
"What does the PEP 8 style guide recommend as the indentation standard for Python code?","1 Tab character","4 Spaces","2 Spaces","8 Spaces","B","Python","Easy","PEP 8 specifies exactly 4 spaces per indentation level and advises against mixing tabs and spaces."
"Which of the following is NOT one of Coffman's four conditions required for a Deadlock to occur?","Mutual Exclusion","Hold and Wait","Preemption Allowed","Circular Wait","C","Operating Systems","Easy","The four Coffman conditions are: Mutual Exclusion, Hold and Wait, No Preemption, and Circular Wait. Preemption breaks deadlocks."
"What is the purpose of the Translation Lookaside Buffer (TLB) in virtual memory management?","To store dirty disk blocks before writing to drive","A high-speed hardware cache that stores recent virtual-to-physical address translations","To coordinate scheduling between user threads and kernel threads","To compress virtual memory pages","B","Operating Systems","Medium","The TLB caches page table entries inside the MMU, avoiding high-latency memory bus traversals on every address translation."
"What is 'Thrashing' in an operating system?","A CPU running at maximum clock frequency under high thermal load","A state where the system spends more time servicing page faults than executing instructions","A deadlock between multiple peripheral devices","A process repeatedly crashing due to segmentation faults","B","Operating Systems","Easy","Thrashing occurs when the collective working sets of active processes exceed physical RAM, causing constant disk paging."
"Which CPU scheduling algorithm is theoretically optimal for minimizing average waiting time but cannot be practically implemented for general processes?","First-Come, First-Served (FCFS)","Round Robin (RR)","Shortest Job First (SJF) / Shortest Remaining Time First (SRTF)","Multilevel Feedback Queue","C","Operating Systems","Medium","SJF minimizes average wait time mathematically, but the OS kernel cannot predict the exact future CPU burst lengths of processes."
"What is the primary difference between a Process and a Thread?","Processes share memory space; threads have independent isolated address spaces","Processes have their own isolated virtual address space; threads within the same process share code, data, and heap memory","Threads can only run on single-core CPUs","Creating a process is faster and lighter than creating a thread","B","Operating Systems","Easy","A process is an execution environment with private memory; threads are lightweight execution units sharing the parent process's address space."
"In Unix/Linux, what is a 'Zombie Process'?","A process running an infinite loop","A process that has finished execution but still has an entry in the process table because its parent has not read its exit status via wait()","A process whose parent has terminated","A malware process masquerading as a system daemon","B","Operating Systems","Medium","A zombie process has exited and freed its memory, but retains its PID and exit code in the process table until the parent invokes wait()."
"What is Belady's Anomaly in page replacement algorithms?","Increasing the number of page frames causes more page faults to occur","Least Recently Used (LRU) performs worse than First-In-First-Out (FIFO)","The CPU cache misses on contiguous array reads","Page sizes smaller than 4KB cause memory fragmentation","A","Operating Systems","Medium","Belady's Anomaly occurs in FIFO page replacement, where adding more memory frames paradoxically results in an increased number of page faults."
"What system call is used in Unix-like systems to create a new child process as an exact duplicate of the calling process?","exec()","fork()","spawn()","clone()","B","Operating Systems","Easy","fork() clones the calling process, returning 0 to the child and the child's PID to the parent process."
"What mechanism allows the operating system kernel to regain control of the CPU from a runaway user-mode program?","Timer Interrupt","Page Table Walk","System Bus Arbiter","Direct Memory Access (DMA)","A","Operating Systems","Medium","Hardware periodic timer interrupts preempt user processes and hand CPU execution back to the kernel scheduler."
"What is an Inode in Unix filesystem architecture?","A network routing protocol","A data structure that stores metadata about a file (permissions, size, owner, data block pointers) except its name","The root directory mount point","A virtual swap partition","B","Operating Systems","Medium","An inode records all attributes and physical block locations of a file; file names and directory links are stored separately in directory files."
"What problem does the Banker's Algorithm solve in operating systems?","Memory defragmentation","Deadlock Avoidance by testing for a safe state prior to resource allocation","Disk scheduling for SSD wear leveling","Network packet queueing","B","Operating Systems","Medium","Dijkstra's Banker's algorithm checks whether granting a resource request leaves the system in a safe state where all processes can finish."
"What is the difference between a mutex and a binary semaphore?","A mutex has ownership semantics (only the thread that locked it can unlock it); a semaphore can be signaled by any thread","A semaphore can only be used by one process; a mutex works across machines","A mutex allows counting up to 10; semaphores are limited to 1","There is no difference; they are exact synonyms","A","Operating Systems","Medium","A mutex is a locking mechanism with strict thread ownership, whereas a semaphore is a signaling mechanism without ownership constraints."
"What is Priority Inversion in real-time operating systems?","A low-priority task finishes before a high-priority task because of CPU burst size","A high-priority task is blocked waiting for a resource held by a low-priority task, while a medium-priority task preempts the low-priority task","The scheduler reverses task priorities after midnight","A task raises its own priority without kernel permission","B","Operating Systems","Hard","Priority inversion occurs when a medium task starves a low task holding a lock needed by a high task; solved via Priority Inheritance."
"What technique does Copy-On-Write (COW) employ during process creation with fork()?","The kernel immediately duplicates all physical memory pages for the child","Parent and child share the same physical pages marked read-only; a private duplicate is created only when either process attempts to write","Memory is copied directly to the swap partition","Child processes run without any write access forever","B","Operating Systems","Medium","COW defers expensive memory copying by sharing pages until a write occurs, triggering a page fault that duplicates only the modified page."
"Which of the following memory allocation issues occurs when free memory blocks are scattered throughout RAM, each too small to satisfy a request?","Internal Fragmentation","External Fragmentation","Page Faulting","Cache Thrashing","B","Operating Systems","Easy","External fragmentation occurs when total free space exists to satisfy a request, but it is split into non-contiguous blocks."
"What happens during a CPU Context Switch?","The CPU halts and restarts the power cycle","The OS saves the state (registers, PC) of the currently running process and restores the state of the scheduled process","Virtual memory is wiped clean","The BIOS reinitializes hardware peripherals","B","Operating Systems","Easy","Context switching stores volatile CPU register states into the Process Control Block (PCB) and loads the new process's context."
"In disk scheduling, what is the elevator algorithm commonly known as?","FCFS","SSTF (Shortest Seek Time First)","SCAN","Round Robin","C","Operating Systems","Easy","SCAN moves the disk arm across cylinders in one direction servicing requests until it hits the end, then reverses direction (like an elevator)."
"What is an Orphan Process in Unix?","A process running without an executable on disk","A process whose parent process terminated before it did (adopted by init / systemd / PID 1)","A process that has deadlocked","A process that cannot allocate memory","B","Operating Systems","Easy","When a parent exits before its child, the child becomes an orphan and is reparented to systemd or init (PID 1), which reaps it upon exit."
"What CPU instruction is commonly used to implement atomic locks without disabling interrupts?","JUMP","Test-And-Set / Compare-And-Swap (CAS)","NOP","PUSH","B","Operating Systems","Medium","Hardware-supported atomic instructions like Compare-And-Swap (CAS) or Test-and-Set modify memory in a single bus transaction."
"What does RAID 5 use to provide fault tolerance with single-disk failure recovery?","Full disk mirroring","Distributed Parity across all member disks","Dedicated single parity disk","Checksum caching in RAM","B","Operating Systems","Medium","RAID 5 stripes data and parity blocks across at least 3 drives, tolerating the failure of any one drive via XOR parity recalculation."
"Which layer of the OSI model is responsible for end-to-end reliability, flow control, and port addressing?","Network Layer","Transport Layer","Data Link Layer","Session Layer","B","Computer Networks","Easy","The Transport Layer (Layer 4, e.g. TCP/UDP) handles port multiplexing, segmentation, flow control, and error recovery."
"In TCP, what flags are exchanged during the standard Three-Way Handshake to establish a connection?","FIN -> ACK -> FIN-ACK","SYN -> SYN-ACK -> ACK","RST -> SYN -> ACK","PING -> PONG -> ACK","B","Computer Networks","Easy","Client sends SYN, server responds with SYN-ACK, client completes handshake by transmitting ACK."
"What is the primary function of the Address Resolution Protocol (ARP)?","Resolves domain names into IP addresses","Maps a known logical IP address to a physical MAC address on a local network segment","Assigns dynamic IP addresses to new clients","Encrypts packets at the transport layer","B","Computer Networks","Easy","ARP broadcasts a query on the local link layer to discover the hardware MAC address associated with an IPv4 address."
"What is the maximum payload size (MTU) of a standard standard Ethernet frame without jumbo frames?","512 bytes","1500 bytes","4096 bytes","65535 bytes","B","Computer Networks","Medium","Standard Ethernet frames enforce an MTU (Maximum Transmission Unit) of 1500 bytes for the IP packet payload."
"Which TCP congestion control state is entered immediately after a packet loss is detected via 3 duplicate ACKs in TCP Reno?","Slow Start","Fast Recovery (and Fast Retransmit)","Time Wait","Connection Teardown","B","Computer Networks","Medium","Receiving 3 duplicate ACKs triggers Fast Retransmit and enters Fast Recovery, halving the congestion window rather than resetting to 1."
"What does the TIME_WAIT state in TCP connection teardown ensure?","The server allocates extra RAM for new sockets","Late-arriving delayed packets from the old connection do not corrupt a new connection using the same socket tuple","The router flushes its NAT translation table","DNS records are updated worldwide","B","Computer Networks","Hard","TIME_WAIT lasts 2 * MSL (Maximum Segment Lifetime) to ensure the final ACK reached the peer and lingering duplicate packets drain from the network."
"Which DNS record type maps an IPv6 hostname to a 128-bit IPv6 address?","A","AAAA","CNAME","PTR","B","Computer Networks","Easy","An A record maps to 32-bit IPv4 addresses, while a 'quad-A' (AAAA) record maps to 128-bit IPv6 addresses."
"What is the network address of the CIDR block 192.168.1.130/26?","192.168.1.0","192.168.1.128","192.168.1.64","192.168.1.192","B","Computer Networks","Medium","A /26 mask has binary mask 11111111.11111111.11111111.11000000 (255.255.255.192). 130 AND 192 = 128, giving 192.168.1.128."
"What protocol does the 'ping' command use to test network reachability?","TCP Echo","ICMP (Internet Control Message Protocol)","UDP Port 53","BGP","B","Computer Networks","Easy","Ping transmits ICMP Echo Request packets (Type 8) and listens for ICMP Echo Reply packets (Type 0)."
"Which routing protocol is an Exterior Gateway Protocol (EGP) used to route traffic between Autonomous Systems across the global Internet?","OSPF","RIP","BGP (Border Gateway Protocol)","IS-IS","C","Computer Networks","Medium","BGP is the de-facto path-vector protocol that routes traffic between distinct internet Autonomous Systems (AS)."
"What transport protocol does HTTP/3 utilize instead of TCP?","SCTP","QUIC (built on top of UDP)","Raw IP Sockets","TLS over ICMP","B","Computer Networks","Medium","HTTP/3 runs over QUIC, a multiplexed transport protocol layered on UDP that eliminates head-of-line blocking."
"What is the purpose of the TTL (Time to Live) field in an IPv4 packet header?","Indicates how many seconds until the payload expires in cache","Prevents packets from looping infinitely in routing loops by decrementing at each hop and dropping at 0","Controls the maximum baud rate of the network link","Defines the encryption key rotation period","B","Computer Networks","Easy","Each router decrements TTL by at least 1; if TTL reaches zero, the packet is discarded and an ICMP Time Exceeded message is returned."
"In symmetric cryptography vs asymmetric cryptography, which of the following is true?","Symmetric uses the same secret key for both encryption and decryption and is substantially faster","Asymmetric uses the same key for both parties","RSA is a symmetric algorithm; AES is an asymmetric algorithm","Asymmetric encryption does not require public keys","A","Computer Networks","Easy","Symmetric ciphers (e.g. AES) use a single shared key and have high computational throughput, while asymmetric ciphers (e.g. RSA, ECC) use public/private pairs."
"What port number does HTTPS securely listen on by default?","80","443","8080","22","B","Computer Networks","Easy","HTTP defaults to port 80; HTTPS defaults to port 443."
"What technique prevents Head-of-Line (HoL) blocking at the stream level in HTTP/2?","Increasing TCP packet window size to 1GB","Multiplexing multiple independent bidirectional streams concurrently over a single TCP connection","Splitting packets across multiple Wi-Fi antennas","Compressing images with gzip","B","Computer Networks","Medium","HTTP/2 introduces binary framing and concurrent independent streams over one connection, though TCP packet-level loss can still cause transport-level blocking."
"What problem occurs when a machine learning model fits training data too closely, capturing noise rather than generalizing to unseen data?","Underfitting","Overfitting","Vanishing Gradient","Data Leakage","B","AI/ML Basics","Easy","Overfitting occurs when high model capacity memorizes training noise, leading to low training error but high test error."
"Which activation function computes f(x) = max(0, x)?","Sigmoid","Tanh","ReLU (Rectified Linear Unit)","Softmax","C","AI/ML Basics","Easy","ReLU outputs x if x > 0 and 0 otherwise, widely favored for combating vanishing gradients in deep networks."
"In neural network training, what algorithm calculates the partial derivative of the loss function with respect to every weight using the chain rule?","Forward Propagation","Backpropagation","K-Means Clustering","Principal Component Analysis","B","AI/ML Basics","Easy","Backpropagation applies the calculus chain rule recursively backwards from the loss output through all layers."
"What does the Area Under the Receiver Operating Characteristic Curve (ROC-AUC) measure?","Regression mean squared error","A binary classifier's ability to discriminate between positive and negative classes across all classification thresholds","Speed of stochastic gradient descent convergence","Variance of neural network weights","B","AI/ML Basics","Medium","ROC-AUC plots True Positive Rate vs False Positive Rate across all decision cutoffs, where 1.0 represents perfect discrimination."
"Which clustering algorithm is an unsupervised learning method that iteratively partitions n observations into k clusters based on nearest mean centroids?","K-Nearest Neighbors (KNN)","K-Means Clustering","Linear Discriminant Analysis","Random Forest","B","AI/ML Basics","Easy","K-Means is an unsupervised clustering algorithm assigning points to nearest centroids and recalculating means iteratively (KNN is supervised)."
"What core mechanism powers the Transformer architecture introduced in the paper 'Attention Is All You Need'?","Recurrent Convolutional Filtering","Scaled Dot-Product Self-Attention","Markov Decision Processes","Simulated Annealing","B","AI/ML Basics","Medium","Transformers rely on multi-head scaled dot-product self-attention to compute dynamic contextual relationships across all tokens in parallel."
"What is the difference between L1 (Lasso) and L2 (Ridge) regularization?","L1 adds squared weights; L2 adds absolute weights","L1 adds the absolute value of coefficients (driving irrelevant weights to exactly zero / sparsity); L2 adds squared magnitude (shrinking weights smoothly)","L1 increases model complexity; L2 decreases learning rate","L2 cannot be used in neural networks","B","AI/ML Basics","Medium","L1 penalty encourages sparse parameter vectors (feature selection), while L2 penalizes large weights proportionally without zeroing them."
"What is the purpose of Dropout in deep neural networks?","To eliminate obsolete training dataset rows","A regularization technique that randomly deactivates a fraction of neurons during training to prevent co-adaptation","To compress model weights for mobile deployment","To reset learning rates when training plateaus","B","AI/ML Basics","Easy","Dropout randomly sets activations to 0 with probability p during training, forcing representations to be redundant and robust."
"What is precision in machine learning classification?","True Positives / (True Positives + False Positives)","True Positives / (True Positives + False Negatives)","(True Positives + True Negatives) / Total Samples","False Positives / True Negatives","A","AI/ML Basics","Medium","Precision measures the proportion of predicted positive instances that were actually correct (TP / (TP + FP)). Recall is TP / (TP + FN)."
"Which loss function is standard for training multi-class classification neural networks with Softmax output?","Mean Squared Error (MSE)","Categorical Cross-Entropy","Hinge Loss","Huber Loss","B","AI/ML Basics","Easy","Categorical Cross-Entropy measures divergence between predicted probability distributions and true one-hot targets."
"What is the Vanishing Gradient problem in deep networks?","Gradients become exponentially large, causing arithmetic overflow","Gradients shrink exponentially towards zero as they propagate back through layers, preventing early layers from learning","The learning rate becomes negative","Weights diverge to infinity","B","AI/ML Basics","Medium","Repeated multiplication of small derivatives (e.g. from sigmoid) causes gradients to vanish near initial layers in deep networks."
"What is the primary difference between Bagging and Boosting ensemble methods?","Bagging trains base models sequentially; Boosting trains them independently in parallel","Bagging (e.g. Random Forest) trains models in parallel to reduce variance; Boosting (e.g. XGBoost) trains sequentially to reduce bias by focusing on previous mistakes","Boosting only works on linear regression","Bagging requires neural networks; Boosting requires decision trees","B","AI/ML Basics","Medium","Bagging creates parallel bootstrap replicas to dampen variance; Boosting trains sequentially, assigning higher sample weights to misclassified instances."
"In Reinforcement Learning, what equation expresses the value of a state as the immediate reward plus the discounted expected future value?","Navier-Stokes Equation","Bellman Equation","Schrödinger Equation","Euler-Lagrange Equation","B","AI/ML Basics","Medium","The Bellman Equation decomposes value functions into immediate reward R(s, a) + gamma * sum(P * V(s')) for dynamic programming in MDPs."
"What does temperature control when sampling text from a Large Language Model (LLM)?","GPU core temperature in Celsius","The sharpness of the output token probability distribution (lower temperature = more deterministic; higher = more random/creative)","Maximum response generation time in seconds","Context window size in tokens","B","AI/ML Basics","Easy","Temperature scales logits before softmax: dividing by low T concentrates probability mass on the top token, while higher T flattens the distribution."
"What technique in Deep Learning normalizes the activations of each layer across the mini-batch to accelerate training and reduce internal covariate shift?","Batch Normalization","Data Augmentation","Gradient Clipping","Weight Pruning","A","AI/ML Basics","Easy","Batch Normalization standardizes inputs to each layer by subtracting the batch mean and dividing by the batch standard deviation."
